City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
265,silifke,36.3778,33.9344,289.94,79,100,2.28,TR,1702647806
266,neyriz,29.1988,54.3278,282.92,38,0,3.11,IR,1702647807
267,ulaangom,49.9811,92.0667,242.45,92,78,1.58,MN,1702647808
268,berdigestyakh,62.0989,126.6992,246.23,95,100,4.12,RU,1702647808
269,amorebieta,43.2167,-2.7333,287.0,80,75,3.09,ES,1702647810
270,tazacorte,28.629,-17.9293,294.34,76,75,3.6,ES,1702647812
271,warrnambool,-38.3833,142.4833,284.63,76,100,5.86,AU,1702647812
272,bamboo flat,11.7,92.7167,302.2,79,40,3.6,IN,1702647813
273,saint-valery-en-caux,49.8667,0.7333,283.57,72,16,3.55,FR,1702647814
274,sultanah,24.4926,39.5857,298.4,19,0,5.66,SA,1702647815
275,usogorsk,63.4106,48.6872,261.3,95,100,3.74,RU,1702647815
276,gilgit,35.9221,74.3087,278.51,39,96,0.43,PK,1702647816
277,nishinoomote,30.7333,131.0,294.55,88,3,11.95,JP,1702647817
278,laguna,38.421,-121.4238,286.49,94,0,0.0,US,1702647818
279,haizhou,34.5817,119.1289,270.67,75,100,6.23,CN,1702647819
280,boende,-0.2167,20.8667,306.82,32,84,1.73,CD,1702647819
281,kalamata,37.0389,22.1142,293.21,69,75,3.6,GR,1702647821
282,genhe,50.7833,121.5167,238.26,100,97,0.65,CN,1702647823
283,zyryanskoye,56.8306,86.6258,253.64,86,100,5.01,RU,1702647823
284,nadym,65.5333,72.5167,241.35,100,85,1.74,RU,1702647824
285,digapahandi,19.3667,84.5833,293.08,70,1,1.28,IN,1702647825
286,crane,31.3974,-102.3501,281.84,86,40,3.53,US,1702647826
287,siwa oasis,29.2041,25.5195,295.85,33,100,2.96,EG,1702647827
288,zaraza,9.3503,-65.3245,303.55,54,97,2.81,VE,1702647828
289,as suwayq,23.8494,57.4386,297.09,47,0,2.58,OM,1702647829
290,tandalti,13.0167,31.8667,304.52,17,93,4.19,SD,1702647830
291,san julian,21.0167,-102.1667,283.78,86,79,0.74,MX,1702647830
292,salair,54.2312,85.7972,250.62,90,75,3.21,RU,1702647831
293,inhambane,-23.865,35.3833,302.14,89,40,7.2,MZ,1702647832
294,bontang,0.1333,117.5,300.83,83,93,3.44,ID,1702647832
295,lysekil,58.2743,11.4358,278.72,86,100,11.07,SE,1702647833
296,izluchinsk,60.9794,76.9242,253.16,97,98,3.19,RU,1702647833
297,vila velha,-20.3297,-40.2925,304.12,51,40,4.63,BR,1702647834
298,kone,-21.0595,164.8658,297.29,74,85,1.71,NC,1702647835
299,hailey,43.5196,-114.3153,268.07,86,0,2.57,US,1702647836
300,tangalle,6.024,80.7911,298.24,89,100,4.68,LK,1702647836
301,sinop,41.7711,34.8709,284.67,60,100,1.81,TR,1702647837
302,rosetta,31.4044,30.4164,294.38,64,94,4.5,EG,1702647838
303,manicore,-5.8092,-61.3003,303.82,65,100,1.59,BR,1702647838
304,la mira,18.035,-102.3266,297.85,56,90,1.55,MX,1702647839
305,kutum,14.2,24.6667,297.08,11,27,5.15,SD,1702647840
306,bubaque,11.2833,-15.8333,300.3,37,73,0.25,GW,1702647840
307,palmer,42.1584,-72.3287,277.09,61,40,6.17,US,1702647841
308,labuan,5.2767,115.2417,299.35,94,40,0.0,MY,1702647842
309,malvan,16.0667,73.4667,299.31,64,0,3.86,IN,1702647843
310,tahmoor,-34.2167,150.5833,293.78,85,39,0.72,AU,1702647844
311,hasaki,35.7333,140.8333,293.37,80,100,14.16,JP,1702647846
312,woolgoolga,-30.1106,153.2007,294.28,89,98,3.44,AU,1702647847
313,vorotynsk,54.4283,36.0465,266.12,97,82,3.58,RU,1702647849
314,esfarayen,37.0765,57.5101,272.96,74,86,1.74,IR,1702647851
315,hinganghat,20.5667,78.8333,294.22,50,0,2.22,IN,1702647852
316,larreynaga,12.6769,-86.5719,299.06,67,0,1.01,NI,1702647854
317,necochea,-38.5473,-58.7368,297.64,64,35,2.68,AR,1702647855
318,khandyga,62.6667,135.6,234.79,99,100,0.86,RU,1702647855
319,san antonio de pale,-1.4014,5.6325,300.36,77,85,2.23,GQ,1702647856
320,lezhe,41.7836,19.6436,286.33,55,100,7.8,AL,1702647857
321,fort drum,44.0584,-75.7619,279.75,79,0,7.2,US,1702647858
322,prieska,-29.6641,22.7474,306.54,11,2,5.93,ZA,1702647858
323,sao jose da coroa grande,-8.8978,-35.1478,301.35,68,96,6.14,BR,1702647859
324,inari,68.906,27.0288,265.26,98,74,2.46,FI,1702647860
325,veraval,20.9,70.3667,297.95,69,0,1.06,IN,1702647861
326,undurkhaan,47.3194,110.6556,242.16,91,2,1.21,MN,1702647862
